Site name,Easting,Northing,Altitude,Point Balance,Density
km 2,492909,6805649,2653,5.1,520
km 8,497796,6809105,2232,5.6,580
km 14,503371,6807249,1930,3,620
km 24,522431,6799146,1464,1.2,600
km 28.2,506978,6795299,1116,0.8,600
km 32,505161,6791649,951,0,600
km 35,504859,6788736,806,-0.8,800
km 40,504850,6784167,675,-2.3,850
km 42,503402,6782808,644,-2.9,850
km 44,501604,6781940,623,-2.3,900
km 46,500001,6780794,610,-1.8,850
km 48,498412,6779577,554,-3,900
km 50,496775,6778370,526,-2.1,900
km 58,496725,6771023,544,-5.6,900
km 60,497347,6768752,493,-5.2,900
km 62,496943,6766507,199,-4.7,900
km 62a,499862,6767572,188,-7.5,900
km 62b,495389,6766188,181,-6.8,900
km 64,499639,6764767,140,-7.5,900
km E 24,516907,6794729,962,-0.2,600
km E 28,513601,6792546,898,-1.1,750
km E 16,523276,6799378,1359,0.7,600
km E 32,511069,6789345,789,-1.2,750
km E 36,507901,6787106,723,-1.9,750
km E 38,506338,6785602,697,-1.6,750
km MW 20,495602,6794266,1423,3.6,600
km MW 24,509812,6794814,1247,2.1,600
km MW 28,503207,6795009,1166,1.1,600
km NE 18,516863,6800524,1143,-0.7,750
km W 40,484294,6781150,782,0.5,600
km W 44,488189,6780501,660,-0.2,800
km W 47,490866,6779183,591,-1.2,850
RKA,499562,6770908,195,-8.5,900
