; ENVI Convert	ASCII Result
; projection in	"fo = {UTM, 6, North, WGS-84, units=Meters}"
;	
492896.2974	6805637.187
497654.3918	6809085.806
503287.1359	6807291.524
507750.3484	6803393.085
508290.1321	6799604.603
507040.6325	6795511.242
505301.3291	6792107.605
504691.5733	6789223.76
505011.4452	6784400.692
503597.0117	6782983.26
501817.7243	6782081.621
500198.3729	6780907.092
498566.0267	6779752.554
496928.6826	6778603.014
516936.669	6794746.548
513622.9962	6792565.422
523323.1113	6799422.676
511091.0102	6789378.698
507925.2781	6787134.597
506405.8867	6785840.116
495445.2766	6794199.768
499098.8133	6794816.52
516841.7072	6800579.212
484240.7644	6781153.992
488143.2014	6780537.24
490802.1364	6779205.773
