F1	WGS 84 Easting 	WGS 84 Northing
km 2	492918.887	6805625.532
km 8	497676.984	6809074.149
km 14	503309.731	6807279.871
km 20	507772.938	6803381.433
km 24	508312.717	6799592.945
km 28.2	507063.218	6795499.588
km 32 (ELA)	505323.919	6792095.950
km 35	504714.160	6789212.112
km 40	505034.039	6784389.045
km 42	503619.600	6782971.616
km 44	501840.311	6782069.977
km 46	500220.963	6780895.447
km 48	498588.624	6779740.908
km 50	496951.275	6778591.369
km E 24	516959.252	6794734.898
km E 28	513645.584	6792553.770
km E 16	523345.698	6799411.025
km E 32	511113.596	6789367.052
km E 36	507947.868	6787122.943
km E 38	506428.479	6785828.464
km MW 20	495467.866	6794188.119
km MW28	503098.211	6795053.069
km MW 24	499121.403	6794804.868
km NE 18	516864.292	6800567.555
km W 40	484263.363	6781142.347
km W 44	488165.800	6780525.588
km W 47	490824.729	6779194.128
